#featureID,isolation_center_m/z,rt,compound_m/z,compound_rt,compound_formula,DB_Compound_ID,Compound_Name,DB_Spectrum_ID,dot_product,ppm_Error,isotope_similiarity,Abundance,ComponentID,redundant
10,133.06067911783865,6.439735834505666,133.0608,-1,C4H8N2O3,JSJWCHRYRHKBBW-UHFFFAOYSA-N,Ureidopropionic acid,HMDB0000026,2.3758153861488616,0.9084739545593055,0.9807681064430409,0.0,original,False
5,103.0389190673832,5.3593062622002,103.039,-1,C4H6O3,WDJHALXBUFZDSR-UHFFFAOYSA-N,Acetoacetic acid,HMDB0000060,1.207278777037804,0.7854567723466872,0.9850331658951635,0.0,original,False
75,133.06077194213876,4.4049760158207505,133.0608,-1,C4H8N2O3,JSJWCHRYRHKBBW-UHFFFAOYSA-N,Ureidopropionic acid,HMDB0000026,0.2886441105836542,0.21086501178175981,0.9903299156572924,0.0,original,False
8,126.1024921123799,7.470066222412846,126.1026,-1,C6H11N3,FHQDWPCFSJMNCT-UHFFFAOYSA-N,1-Methylhistamine,HMDB0000898,7.869816495223995,0.8555550194292689,0.9970766599914331,1.0,original,False
14,146.08110351562496,1.90672546882268,146.0812,-1,C6H11NO3,UZTFMUBKZQVKLK-UHFFFAOYSA-N,4-Acetamidobutanoic acid,HMDB0003681,0.7925245771697382,0.660484982063189,0.7484814139944228,0.008943875939368112,original,False
132,170.09235743472436,5.12632248266142,170.0924,-1,C7H11N3O2,JDHILDINMRGULE-LURJTMIESA-N,3-Methylhistidine,HMDB0000479,0.010771849747737823,0.25024801982168887,0.9944407589575964,0.0,residual,False
12,206.04477800641732,2.901459990932619,206.0448,-1,C10H7NO4,FBZONXHGGPHHIY-UHFFFAOYSA-N,Xanthurenic acid,HMDB0000881,63.41021495087681,0.10674176217784652,0.9814015732762634,1.0,original,False
26,330.0600183660335,2.8568924255591366,330.05999319894,2.915,-1,330.05999319894|3.32,Predicted Analyte: m/z = 330.05999 rt: 2.92,-1,99.9986472897726,-0.07625005179904133,-1,1.0,original,False
38,139.05011918809657,3.688779761153666,139.0502,-1,C6H6N2O2,LOIYMIARKYCTBW-UPHRSURJSA-N,(E)-Urocanic acid,HMDB0034174,88.74410405893876,0.5811710474466933,0.9982605380477989,0.8635723555779243,LOIYMIARKYCTBW-UPHRSURJSA-N,True
38,139.05011918809657,3.688779761153666,139.0502,-1,C6H6N2O2,LOIYMIARKYCTBW-OWOJBTEDSA-N,Urocanic acid,HMDB0000301,88.74163797512905,0.5811710474466933,0.9982605380477989,0.0,LOIYMIARKYCTBW-UPHRSURJSA-N,True
49,349.0546875,7.057377519483,349.0544,-1,C10H13N4O8P,GRSZFWQUAKGDAV-KQYNXXCUSA-N,Inosinic acid,HMDB0000175,67.1574773861988,-0.8236531704307701,0.5,1.0,original,False
35,175.07124137878426,3.881043076508375,175.0714,-1,C6H10N2O4,HXFOXFJUNFFYMO-BYPYZUCNSA-N,N-Acetylasparagine,HMDB0006028,2.3921317915820013,0.9060381048140662,0.7416223298936024,0.03162675827746395,HXFOXFJUNFFYMO-BYPYZUCNSA-N,False
15,156.07671256687317,6.24408285508261,156.0768,-1,C6H9N3O2,HNDVDQJCIGZPNO-YFKPBYRVSA-N,L-Histidine,HMDB0000177,5.924949156251545,0.5601932881862315,0.9840080510202288,1.0,original,False
23,112.0868630981444,10.87333291316136,112.0869,-1,C5H9N3,NTYJJOPFIAHURM-UHFFFAOYSA-N,Histamine,HMDB0060263,0.09736673161207741,0.32922551826648566,0.9857744528941983,0.0,original,False
53,433.8746587579901,4.906706681396909,433.874715169271,4.9,-1,433.874715169271|5.19,Predicted Analyte: m/z = 433.87472 rt: 4.9,-1,98.63396416322404,0.1300174594837356,-1,1.0,original,False
37,150.0582489013676,4.2881335121166,150.0583,-1,C5H11NO2S,FFEARJCKVFRZRR-UHFFFAOYSA-N,Racemethionine,HMDB0033951,17.343968877789177,0.3405253145742196,0.9560178588220881,0.7765970513522169,FFEARJCKVFRZRR-UHFFFAOYSA-N,False
65,208.096832275391,1.0067116144,208.0968,-1,C11H13NO3,CBQJSKKFNMDLON-JTQLQIEISA-N,N-Acetyl-L-phenylalanine,HMDB0000512,0.021860449429498333,-0.15509794473947652,0.5,0.0,original,False
66,169.097122192383,4.75097827540825,169.0972,-1,C8H12N2O2,NHZMQXZHNVQTQA-UHFFFAOYSA-N,Pyridoxamine,HMDB0001431,3.7667724726962506,0.4601356662158696,0.9832761091017508,0.6410789504363927,NHZMQXZHNVQTQA-UHFFFAOYSA-N,False
28,106.08619828657676,7.454113533973409,106.08618927001956,7.45,-1,106.08618927001956|7.79,Predicted Analyte: m/z = 106.08619 rt: 7.45,-1,99.9757691596767,-0.08499274501352497,-1,0.9998832573047312,106.08618927001956|7.79,False
238,268.1039297921319,4.295590079973715,268.1041,-1,C10H13N5O4,OIRDTQYFTABQOQ-KQYNXXCUSA-N,Adenosine,HMDB0000050,61.05466211671459,0.6348577890713505,0.9605048892614597,1.0,original,False
238,268.1039297921319,4.295590079973715,268.1041,-1,C10H13N5O4,OIRDTQYFTABQOQ-UHTZMRCNSA-N,Vidarabine,HMDB0014340,56.71873685347675,0.6348577890713505,0.9605048892614597,0.0,original,False
58,118.08613713582362,3.9064395520990556,118.08613239635127,3.92,-1,118.08613239635127|4.2,Predicted Analyte: m/z = 118.08613 rt: 3.92,-1,99.99927634174492,-0.04013572177230653,-1,0.9999225917994432,118.08613239635127|4.2,False
59,377.14569527762285,2.6042725323095715,377.1456,-1,C17H20N4O6,AUNGANRZJHBGPY-SCRDCRAPSA-N,Riboflavin,HMDB0000244,55.48432265904556,-0.2526281594628798,0.9435176985798459,1.0,original,False
32,330.059748331706,2.224163492975056,330.0597045898438,2.2249999999999996,-1,330.0597045898438|2.51,Predicted Analyte: m/z = 330.0597 rt: 2.22,-1,99.98976543656607,-0.13252710267874293,-1,1.0,original,False
34,166.0862206353081,3.3666495457592225,166.0863,-1,C9H11NO2,TWLLPUMZVVGILS-UHFFFAOYSA-N,Ethyl 2-aminobenzoate,HMDB0033589,0.041603388898786384,0.4778523563333067,0.966236513543614,0.0,original,False
3,74.07148742675776,12.226573620113934,74.0713,-1,C2H7N3,CHJJGSNFBQVOTG-UHFFFAOYSA-N,Methylguanidine,HMDB0001522,78.39971947417257,-2.530349588933033,0.9698057091291988,0.9007889304945867,CHJJGSNFBQVOTG-UHFFFAOYSA-N,False
335,120.06551488240568,6.335092787883333,120.0655,-1,C4H9NO3,UKAUYVFTDYCKQA-VKHMYHEASA-N,L-Homoserine,HMDB0000719,0.0010761369120397615,-0.12395237461771533,0.4644164733964631,0.0,original,False
